识别结果,文件名,点数,匹配度,匹配次数,用时,方法
识别成功: 11_b.png , Tb , [模板匹配] , [匹配度:85.0%] , [匹配次数:26] , [10ms]
识别成功: 12_b.png , 8b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [14ms]
识别成功: 12_r.png , Kr , [模板匹配] , [匹配度:87.6%] , [匹配次数:26] , [13ms]
识别成功: 13_b.png , 9b , [模板匹配] , [匹配度:87.6%] , [匹配次数:26] , [10ms]
识别成功: 13_r.png , Kr , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [13ms]
识别成功: 14_b.png , 7b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 14_r.png , 7r , [模板匹配] , [匹配度:88.4%] , [匹配次数:26] , [12ms]
识别成功: 15_b.png , 5b , [模板匹配] , [匹配度:86.5%] , [匹配次数:26] , [11ms]
识别成功: 15_r.png , Jr , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [11ms]
识别成功: 16_r.png , 4r , [模板匹配] , [匹配度:90.0%] , [匹配次数:26] , [11ms]
识别成功: 17_b.png , 3b , [模板匹配] , [匹配度:89.6%] , [匹配次数:26] , [14ms]
识别成功: 17_r.png , 5r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [9ms]
识别成功: 21_b.png , Kb , [模板匹配] , [匹配度:87.7%] , [匹配次数:26] , [13ms]
识别成功: 22_r.png , Jr , [模板匹配] , [匹配度:86.7%] , [匹配次数:26] , [13ms]
识别成功: 23_b.png , 3b , [模板匹配] , [匹配度:83.7%] , [匹配次数:26] , [13ms]
识别成功: 23_r.png , Jr , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [12ms]
识别成功: 24_r.png , 8r , [模板匹配] , [匹配度:86.1%] , [匹配次数:26] , [11ms]
识别成功: 25_b.png , Ab , [模板匹配] , [匹配度:87.7%] , [匹配次数:26] , [8ms]
识别成功: 25_r.png , Ar , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [16ms]
识别成功: 26_b.png , 2b , [模板匹配] , [匹配度:91.3%] , [匹配次数:26] , [12ms]
识别成功: 26_r.png , 4r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [13ms]
识别成功: 27_b.png , 3b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 27_r.png , Jr , [模板匹配] , [匹配度:88.5%] , [匹配次数:26] , [11ms]
识别成功: 31_r.png , 8r , [模板匹配] , [匹配度:85.5%] , [匹配次数:26] , [10ms]
识别成功: 32_b.png , Kb , [模板匹配] , [匹配度:91.1%] , [匹配次数:26] , [10ms]
识别成功: 33_b.png , 7b , [模板匹配] , [匹配度:91.1%] , [匹配次数:26] , [12ms]
识别成功: 34_b.png , Ab , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 34_r.png , 6r , [模板匹配] , [匹配度:86.1%] , [匹配次数:26] , [12ms]
识别成功: 35_b.png , Jb , [模板匹配] , [匹配度:93.9%] , [匹配次数:26] , [10ms]
识别成功: 35_r.png , 9r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 36_r.png , 9r , [模板匹配] , [匹配度:80.5%] , [匹配次数:26] , [11ms]
识别成功: 37_b.png , 9b , [模板匹配] , [匹配度:85.5%] , [匹配次数:26] , [12ms]
识别成功: 37_r.png , Ar , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [8ms]
识别成功: 41_b.png , 5b , [模板匹配] , [匹配度:82.2%] , [匹配次数:26] , [10ms]
识别成功: 42_b.png , 7b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 42_r.png , 3r , [模板匹配] , [匹配度:81.1%] , [匹配次数:26] , [10ms]
识别成功: 43_b.png , Qb , [模板匹配] , [匹配度:89.0%] , [匹配次数:26] , [8ms]
识别成功: 44_b.png , 4b , [模板匹配] , [匹配度:87.0%] , [匹配次数:26] , [10ms]
识别成功: 44_r.png , Qr , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [12ms]
识别成功: 45_b.png , Tb , [模板匹配] , [匹配度:76.6%] , [匹配次数:26] , [16ms]
识别成功: 45_r.png , Tr , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [15ms]
识别成功: 46_r.png , 5r , [模板匹配] , [匹配度:83.5%] , [匹配次数:26] , [14ms]
识别成功: 47_b.png , 2b , [模板匹配] , [匹配度:84.2%] , [匹配次数:26] , [12ms]
识别成功: 47_r.png , Qr , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [13ms]
识别成功: 51_b.png , Qb , [模板匹配] , [匹配度:83.8%] , [匹配次数:26] , [9ms]
识别成功: 52_b.png , Kb , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [9ms]
识别成功: 52_r.png , Tr , [模板匹配] , [匹配度:84.1%] , [匹配次数:26] , [10ms]
识别成功: 53_b.png , 4b , [模板匹配] , [匹配度:88.7%] , [匹配次数:26] , [11ms]
识别成功: 54_r.png , 6r , [模板匹配] , [匹配度:86.9%] , [匹配次数:26] , [11ms]
识别成功: 55_b.png , 2b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [12ms]
识别成功: 55_r.png , 7r , [模板匹配] , [匹配度:89.0%] , [匹配次数:26] , [17ms]
识别成功: 56_b.png , Qb , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [11ms]
识别成功: 56_r.png , Tr , [模板匹配] , [匹配度:88.8%] , [匹配次数:26] , [10ms]
识别成功: 61_b.png , 9b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [10ms]
识别成功: 61_r.png , Qr , [模板匹配] , [匹配度:88.4%] , [匹配次数:26] , [11ms]
识别成功: 62_b.png , 7b , [模板匹配] , [匹配度:89.2%] , [匹配次数:26] , [12ms]
识别成功: 62_r.png , 9r , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [16ms]
识别成功: 63_r.png , 5r , [模板匹配] , [匹配度:86.3%] , [匹配次数:26] , [16ms]
识别成功: 64_b.png , 4b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [15ms]
识别成功: 64_r.png , 3r , [模板匹配] , [匹配度:86.5%] , [匹配次数:26] , [16ms]
识别成功: 65_b.png , Ab , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [13ms]
识别成功: 65_r.png , 2r , [模板匹配] , [匹配度:84.4%] , [匹配次数:26] , [14ms]
识别成功: 66_b.png , Ab , [模板匹配] , [匹配度:89.9%] , [匹配次数:26] , [11ms]
识别成功: 71_b.png , 3b , [模板匹配] , [匹配度:100.0%] , [匹配次数:26] , [13ms]
识别成功: 71_r.png , 4r , [模板匹配] , [匹配度:88.2%] , [匹配次数:26] , [16ms]
识别成功: 72_r.png , Ar , [模板匹配] , [匹配度:90.7%] , [匹配次数:26] , [13ms]
